colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
382,638,3.07017802197026,0.970695970695971,0.91044776119403,83387,2.49091478871563e-36,1,Hoxa9
2025,3399,4.02432009334226,0.978021978021978,0.950248756218905,83297,5.44275965407438e-36,1,Ikzf2
1465,2527,3.70660004774955,0.967032967032967,0.920398009950249,83257,7.59512349803483e-36,1,Pbx1
398,663,4.4524261115332,0.948717948717949,0.82089552238806,83241,8.03126527369576e-36,1,Socs2
1545,2654,4.25829208964636,0.908424908424908,0.741293532338308,83147,1.40224307286144e-35,1,Spns2
2173,3662,2.39320464656547,0.996336996336996,0.990049751243781,83158,1.78425683849321e-35,1,Ramp1
1220,2109,3.11072904546193,0.967032967032967,0.870646766169154,83141,1.99775121688307e-35,1,Camk2d
1234,2133,7.32111433976467,0.893772893772894,0.686567164179104,83069.5,2.14105724278133e-35,1,Mycn
268,451,2.8847777390154,0.981684981684982,0.895522388059702,83112.5,2.59091622901647e-35,1,Pde4b
848,1442,2.48561736891231,0.989010989010989,0.915422885572139,83107.5,2.72181987685978e-35,1,Tgtp2
600,1006,7.37970359675992,0.824175824175824,0.527363184079602,82843,3.03303107140278e-35,1,Il15
1895,3196,7.49154603328741,0.82051282051282,0.54726368159204,82841.5,3.51324061381353e-35,1,Dennd1c
1238,2142,2.320768883855,1,0.985074626865672,82979,8.09364649087248e-35,1,Rab38
1373,2361,7.29106725959232,0.864468864468865,0.616915422885572,82816.5,1.09632831037591e-34,1,Neurl3
1550,2667,2.72371608039676,0.981684981684982,0.925373134328358,82868.5,2.03192197340919e-34,1,Tspan14
2352,3982,3.56637659221257,0.967032967032967,0.830845771144279,82765,4.57862173098123e-34,1,Irf1
199,331,4.76142892972577,0.838827838827839,0.532338308457711,82494,7.27114337122242e-34,1,Maged1
917,1550,3.88966419657693,1,0.985074626865672,82709,7.70255810728452e-34,1,Tox
587,990,7.96237290713244,0.838827838827839,0.467661691542289,82385,1.01468150510096e-33,1,Cd74
2634,4504,5.36044943397915,0.846153846153846,0.54726368159204,82472,1.06312192697824e-33,1,Rassf2
654,1101,7.10627488730475,0.787545787545788,0.462686567164179,82256,1.33414471353314e-33,1,Zfp467
766,1303,6.07598590573378,0.934065934065934,0.786069651741294,82535,2.76845566251663e-33,1,Unc93b1
1666,2830,2.99956737261927,0.981684981684982,0.940298507462687,82540,3.09233030248395e-33,1,Sept6
1769,2989,3.00482725257277,0.912087912087912,0.825870646766169,82512,3.39393223877522e-33,1,Dock2
1008,1737,2.5643146551163,0.981684981684982,0.950248756218905,82460,5.95945370689406e-33,1,Smarca2
2612,4462,3.08919146279067,0.95970695970696,0.830845771144279,82283,2.37033738901041e-32,1,Plec
375,626,6.0812630043268,0.838827838827839,0.592039800995025,82043,4.65385937486078e-32,1,Tnip3
845,1439,6.50520140340909,0.967032967032967,0.895522388059702,82160.5,6.64030633427906e-32,1,Cd53
2524,4314,2.48784800447046,0.985347985347985,0.965174129353234,82142,7.83370345549479e-32,1,Rgs19
1890,3189,4.2821322093221,0.941391941391941,0.796019900497512,82119,8.35738106068444e-32,1,Maml2
